,Time,Open,High,Low,Close,Volume,Readable_time
75,1699066800000,40.41,41.23,40.25,41.12,435439.81000000,2023-11-04 03:00:00
76,1699070400000,41.12,41.6,40.71,40.86,435794.86000000,2023-11-04 04:00:00
77,1699074000000,40.86,40.94,40.4,40.67,267050.25000000,2023-11-04 05:00:00
78,1699077600000,40.68,41.5,40.63,41.14,380649.60000000,2023-11-04 06:00:00
79,1699081200000,41.14,42.06,41.12,41.72,565969.36000000,2023-11-04 07:00:00
80,1699084800000,41.72,42.33,41.38,41.92,465287.13000000,2023-11-04 08:00:00
81,1699088400000,41.92,42.72,41.92,41.98,445973.33000000,2023-11-04 09:00:00
82,1699092000000,41.99,42.3,41.67,41.87,314138.10000000,2023-11-04 10:00:00
83,1699095600000,41.88,42.25,41.26,41.53,343962.31000000,2023-11-04 11:00:00
84,1699099200000,41.52,41.79,41.21,41.71,279381.72000000,2023-11-04 12:00:00
85,1699102800000,41.73,42.21,41.44,41.75,366686.58000000,2023-11-04 13:00:00
86,1699106400000,41.76,42.13,41.33,41.37,269197.51000000,2023-11-04 14:00:00
87,1699110000000,41.38,41.56,40.82,41.28,301333.50000000,2023-11-04 15:00:00
88,1699113600000,41.28,41.69,41.12,41.45,176060.32000000,2023-11-04 16:00:00
89,1699117200000,41.45,41.67,41.17,41.37,89697.61000000,2023-11-04 17:00:00
90,1699120800000,41.37,41.88,41.03,41.71,124328.62000000,2023-11-04 18:00:00
91,1699124400000,41.71,41.82,41.32,41.38,97603.90000000,2023-11-04 19:00:00
92,1699128000000,41.39,41.9,41.3,41.7,109989.73000000,2023-11-04 20:00:00
93,1699131600000,41.7,42.12,41.66,41.96,140945.37000000,2023-11-04 21:00:00
94,1699135200000,41.96,42.57,41.85,42.41,272759.17000000,2023-11-04 22:00:00
95,1699138800000,42.42,42.69,42.15,42.41,225067.77000000,2023-11-04 23:00:00
96,1699142400000,42.41,42.57,41.7,41.87,220189.99000000,2023-11-05 00:00:00
97,1699146000000,41.88,42.23,41.82,42.2,121227.14000000,2023-11-05 01:00:00
98,1699149600000,42.2,42.85,42.13,42.66,257764.26000000,2023-11-05 02:00:00
99,1699153200000,42.66,42.73,42.22,42.52,184080.19000000,2023-11-05 03:00:00
100,1699156800000,42.52,42.54,41.85,42.07,183090.09000000,2023-11-05 04:00:00
101,1699160400000,42.07,42.19,41.52,41.77,153674.77000000,2023-11-05 05:00:00
102,1699164000000,41.78,41.96,41.42,41.55,242715.61000000,2023-11-05 06:00:00
103,1699167600000,41.55,41.77,41.44,41.57,129248.46000000,2023-11-05 07:00:00
104,1699171200000,41.56,41.72,41.1,41.19,161666.84000000,2023-11-05 08:00:00
105,1699174800000,41.2,41.69,41.16,41.55,128939.27000000,2023-11-05 09:00:00
106,1699178400000,41.55,41.63,41.28,41.6,100726.47000000,2023-11-05 10:00:00
107,1699182000000,41.6,41.81,41.3,41.64,196932.66000000,2023-11-05 11:00:00
108,1699185600000,41.64,41.88,41.45,41.69,161792.26000000,2023-11-05 12:00:00
109,1699189200000,41.68,41.75,40.5,40.7,271671.98000000,2023-11-05 13:00:00
110,1699192800000,40.71,41.17,40.57,41.02,230495.36000000,2023-11-05 14:00:00
111,1699196400000,41.02,41.11,40.5,40.72,190139.41000000,2023-11-05 15:00:00
112,1699200000000,40.72,41.14,40.63,41.03,95422.18000000,2023-11-05 16:00:00
113,1699203600000,41.04,41.6,40.93,41.05,212340.98000000,2023-11-05 17:00:00
114,1699207200000,41.05,41.15,40.69,40.8,146984.45000000,2023-11-05 18:00:00
115,1699210800000,40.81,41.04,40.74,40.74,121629.66000000,2023-11-05 19:00:00
116,1699214400000,40.75,41.13,40.73,40.91,65427.95000000,2023-11-05 20:00:00
117,1699218000000,40.9,40.94,40.1,40.43,245406.65000000,2023-11-05 21:00:00
118,1699221600000,40.43,41.03,40.41,40.93,79987.10000000,2023-11-05 22:00:00
119,1699225200000,40.94,41.55,40.79,41.15,216408.66000000,2023-11-05 23:00:00
120,1699228800000,41.16,41.52,40.88,41.5,185731.53000000,2023-11-06 00:00:00
121,1699232400000,41.5,41.76,41.04,41.19,166862.59000000,2023-11-06 01:00:00
122,1699236000000,41.2,41.83,41.17,41.73,133118.63000000,2023-11-06 02:00:00
123,1699239600000,41.72,41.78,40.98,41.11,134584.88000000,2023-11-06 03:00:00
124,1699243200000,41.11,41.23,40.05,40.24,421627.28000000,2023-11-06 04:00:00
125,1699246800000,40.25,40.45,39.66,39.94,276215.39000000,2023-11-06 05:00:00
126,1699250400000,39.93,40.45,39.85,40.3,192697.00000000,2023-11-06 06:00:00
127,1699254000000,40.29,40.4,39.86,39.93,186793.59000000,2023-11-06 07:00:00
128,1699257600000,39.93,40.24,39.7,40.21,164993.02000000,2023-11-06 08:00:00
129,1699261200000,40.21,40.42,40.07,40.32,150777.00000000,2023-11-06 09:00:00
130,1699264800000,40.32,40.73,40.21,40.35,187191.72000000,2023-11-06 10:00:00
131,1699268400000,40.35,40.47,40.12,40.32,132762.91000000,2023-11-06 11:00:00
132,1699272000000,40.32,40.61,40.05,40.47,172970.95000000,2023-11-06 12:00:00
133,1699275600000,40.47,40.6,39.9,40.16,238820.20000000,2023-11-06 13:00:00
134,1699279200000,40.16,40.43,40.1,40.37,248319.63000000,2023-11-06 14:00:00
135,1699282800000,40.38,40.7,40.19,40.23,193619.68000000,2023-11-06 15:00:00
136,1699286400000,40.23,40.5,39.88,40.24,250838.66000000,2023-11-06 16:00:00
137,1699290000000,40.24,40.45,40.0,40.25,140624.68000000,2023-11-06 17:00:00
138,1699293600000,40.25,40.37,39.97,40.24,156267.09000000,2023-11-06 18:00:00
139,1699297200000,40.24,40.52,40.01,40.48,109725.69000000,2023-11-06 19:00:00
140,1699300800000,40.49,40.5,40.16,40.44,90741.77000000,2023-11-06 20:00:00
141,1699304400000,40.44,40.46,40.03,40.4,116110.42000000,2023-11-06 21:00:00
142,1699308000000,40.4,41.43,40.37,41.29,264074.02000000,2023-11-06 22:00:00
143,1699311600000,41.3,42.2,41.13,42.16,551090.26000000,2023-11-06 23:00:00
144,1699315200000,42.16,42.29,41.33,41.73,506893.53000000,2023-11-07 00:00:00
